date,crop,location,market_price
2024-01-01,rice,Hyderabad,2424
2024-01-02,rice,Hyderabad,2429
2024-01-03,rice,Hyderabad,2434
2024-01-04,rice,Hyderabad,2448
2024-01-05,rice,Hyderabad,2442
2024-01-06,rice,Hyderabad,2437
2024-01-07,rice,Hyderabad,2431
2024-01-08,rice,Hyderabad,2421
2024-01-09,rice,Hyderabad,2391
2024-01-10,rice,Hyderabad,2403
2024-01-11,rice,Hyderabad,2415
2024-01-12,rice,Hyderabad,2397
2024-01-13,rice,Hyderabad,2393
2024-01-14,rice,Hyderabad,2386
2024-01-15,rice,Hyderabad,2378
2024-01-16,rice,Hyderabad,2354
2024-01-17,rice,Hyderabad,2347
2024-01-18,rice,Hyderabad,2356
2024-01-19,rice,Hyderabad,2388
2024-01-20,rice,Hyderabad,2394
2024-01-21,rice,Hyderabad,2397
2024-01-22,rice,Hyderabad,2392
2024-01-23,rice,Hyderabad,2386
2024-01-24,rice,Hyderabad,2398
2024-01-25,rice,Hyderabad,2403
2024-01-26,rice,Hyderabad,2397
2024-01-27,rice,Hyderabad,2385
2024-01-28,rice,Hyderabad,2385
2024-01-29,rice,Hyderabad,2379
2024-01-30,rice,Hyderabad,2380
2024-01-31,rice,Hyderabad,2379
2024-02-01,rice,Hyderabad,2385
2024-02-02,rice,Hyderabad,2370
2024-02-03,rice,Hyderabad,2385
2024-02-04,rice,Hyderabad,2420
2024-02-05,rice,Hyderabad,2435
2024-02-06,rice,Hyderabad,2439
2024-02-07,rice,Hyderabad,2451
2024-02-08,rice,Hyderabad,2440
2024-02-09,rice,Hyderabad,2421
2024-02-10,rice,Hyderabad,2432
2024-02-11,rice,Hyderabad,2426
2024-02-12,rice,Hyderabad,2411
2024-02-13,rice,Hyderabad,2401
2024-02-14,rice,Hyderabad,2389
2024-02-15,rice,Hyderabad,2391
2024-02-16,rice,Hyderabad,2399
2024-02-17,rice,Hyderabad,2411
2024-02-18,rice,Hyderabad,2423
2024-02-19,rice,Hyderabad,2433
2024-02-20,rice,Hyderabad,2431
2024-02-21,rice,Hyderabad,2425
2024-02-22,rice,Hyderabad,2407
2024-02-23,rice,Hyderabad,2421
2024-02-24,rice,Hyderabad,2420
2024-02-25,rice,Hyderabad,2416
2024-02-26,rice,Hyderabad,2431
2024-02-27,rice,Hyderabad,2421
2024-02-28,rice,Hyderabad,2432
2024-02-29,rice,Hyderabad,2437
2024-03-01,rice,Hyderabad,2425
2024-03-02,rice,Hyderabad,2424
2024-03-03,rice,Hyderabad,2437
2024-03-04,rice,Hyderabad,2447
2024-03-05,rice,Hyderabad,2466
2024-03-06,rice,Hyderabad,2471
2024-03-07,rice,Hyderabad,2513
2024-03-08,rice,Hyderabad,2502
2024-03-09,rice,Hyderabad,2498
2024-03-10,rice,Hyderabad,2498
2024-03-11,rice,Hyderabad,2481
2024-03-12,rice,Hyderabad,2495
2024-03-13,rice,Hyderabad,2506
2024-03-14,rice,Hyderabad,2507
2024-03-15,rice,Hyderabad,2501
2024-03-16,rice,Hyderabad,2483
2024-03-17,rice,Hyderabad,2474
2024-03-18,rice,Hyderabad,2484
2024-03-19,rice,Hyderabad,2482
2024-03-20,rice,Hyderabad,2477
2024-03-21,rice,Hyderabad,2484
2024-03-22,rice,Hyderabad,2498
2024-03-23,rice,Hyderabad,2502
2024-03-24,rice,Hyderabad,2506
2024-03-25,rice,Hyderabad,2523
2024-03-26,rice,Hyderabad,2525
2024-03-27,rice,Hyderabad,2522
2024-03-28,rice,Hyderabad,2531
2024-03-29,rice,Hyderabad,2528
2024-03-30,rice,Hyderabad,2523
2024-03-31,rice,Hyderabad,2539
2024-04-01,rice,Hyderabad,2536
2024-04-02,rice,Hyderabad,2504
2024-04-03,rice,Hyderabad,2508
2024-04-04,rice,Hyderabad,2504
2024-04-05,rice,Hyderabad,2500
2024-04-06,rice,Hyderabad,2506
2024-04-07,rice,Hyderabad,2504
2024-04-08,rice,Hyderabad,2507
2024-04-09,rice,Hyderabad,2482
2024-04-10,rice,Hyderabad,2471
2024-04-11,rice,Hyderabad,2488
2024-04-12,rice,Hyderabad,2488
2024-04-13,rice,Hyderabad,2467
2024-04-14,rice,Hyderabad,2454
2024-04-15,rice,Hyderabad,2442
2024-04-16,rice,Hyderabad,2443
2024-04-17,rice,Hyderabad,2438
2024-04-18,rice,Hyderabad,2430
2024-04-19,rice,Hyderabad,2430
2024-04-20,rice,Hyderabad,2436
2024-04-21,rice,Hyderabad,2432
2024-04-22,rice,Hyderabad,2425
2024-04-23,rice,Hyderabad,2420
2024-04-24,rice,Hyderabad,2424
2024-04-25,rice,Hyderabad,2424
2024-04-26,rice,Hyderabad,2433
2024-04-27,rice,Hyderabad,2419
2024-04-28,rice,Hyderabad,2409
2024-04-29,rice,Hyderabad,2418
2024-04-30,rice,Hyderabad,2408
2024-05-01,rice,Hyderabad,2425
2024-05-02,rice,Hyderabad,2442
2024-05-03,rice,Hyderabad,2458
2024-05-04,rice,Hyderabad,2447
2024-05-05,rice,Hyderabad,2448
2024-05-06,rice,Hyderabad,2441
2024-05-07,rice,Hyderabad,2452
2024-05-08,rice,Hyderabad,2473
2024-05-09,rice,Hyderabad,2483
2024-05-10,rice,Hyderabad,2483
2024-05-11,rice,Hyderabad,2478
2024-05-12,rice,Hyderabad,2485
2024-05-13,rice,Hyderabad,2470
2024-05-14,rice,Hyderabad,2476
2024-05-15,rice,Hyderabad,2464
2024-05-16,rice,Hyderabad,2471
2024-05-17,rice,Hyderabad,2469
2024-05-18,rice,Hyderabad,2464
2024-05-19,rice,Hyderabad,2452
2024-05-20,rice,Hyderabad,2447
2024-05-21,rice,Hyderabad,2454
2024-05-22,rice,Hyderabad,2466
2024-05-23,rice,Hyderabad,2472
2024-05-24,rice,Hyderabad,2488
2024-05-25,rice,Hyderabad,2518
2024-05-26,rice,Hyderabad,2513
2024-05-27,rice,Hyderabad,2510
2024-05-28,rice,Hyderabad,2492
2024-05-29,rice,Hyderabad,2506
2024-05-30,rice,Hyderabad,2521
2024-05-31,rice,Hyderabad,2510
2024-06-01,rice,Hyderabad,2517
2024-06-02,rice,Hyderabad,2531
2024-06-03,rice,Hyderabad,2533
2024-06-04,rice,Hyderabad,2543
2024-06-05,rice,Hyderabad,2544
2024-06-06,rice,Hyderabad,2529
2024-06-07,rice,Hyderabad,2541
2024-06-08,rice,Hyderabad,2556
2024-06-09,rice,Hyderabad,2564
2024-06-10,rice,Hyderabad,2552
2024-06-11,rice,Hyderabad,2542
2024-06-12,rice,Hyderabad,2527
2024-06-13,rice,Hyderabad,2536
