soil_type,land_area,location,budget,water_availability,crop
red,13.9,Warangal,136620,medium,chilli
sandy,10.6,Nashik,66016,medium,onion
clay,17.5,Vijayawada,240163,high,rice
black,2.9,Pune,16288,high,maize
loamy,19.5,Nashik,253921,high,tomato
loamy,1.9,Vijayawada,18088,high,tomato
black,13.1,Warangal,170066,medium,cotton
red,14.0,Pune,52494,low,millet
loamy,19.8,Jaipur,218964,medium,wheat
loamy,8.6,Warangal,95195,medium,chilli
loamy,3.7,Pune,41412,medium,wheat
black,20.0,Bengaluru,127444,high,maize
loamy,9.0,Nashik,63871,medium,onion
loamy,11.2,Delhi,72815,medium,wheat
red,1.1,Warangal,6434,low,groundnut
loamy,13.1,Warangal,92981,high,groundnut
loamy,12.4,Hyderabad,100519,medium,soybean
loamy,11.8,Lucknow,79758,medium,potato
loamy,19.0,Jaipur,126973,medium,wheat
black,19.9,Pune,172576,medium,maize
red,1.4,Warangal,15322,medium,chilli
loamy,18.2,Nashik,105043,medium,onion
sandy,3.5,Pune,18134,medium,millet
black,13.5,Nashik,84345,medium,soybean
red,14.8,Pune,39143,low,millet
loamy,9.8,Jaipur,103190,medium,wheat
loamy,4.2,Delhi,24239,medium,wheat
loamy,8.4,Lucknow,92124,medium,potato
loamy,2.1,Lucknow,20766,medium,potato
sandy,17.2,Nashik,193486,medium,onion
loamy,17.4,Warangal,137453,medium,maize
loamy,12.1,Vijayawada,97700,medium,tomato
sandy,8.5,Vijayawada,77503,medium,onion
red,20.0,Warangal,162440,medium,chilli
loamy,8.0,Jaipur,73401,medium,wheat
black,17.7,Hyderabad,147748,medium,maize
sandy,14.6,Warangal,70757,low,groundnut
red,9.0,Nashik,77992,medium,cotton
red,9.4,Nashik,44336,low,groundnut
loamy,16.9,Vijayawada,151315,medium,tomato
loamy,18.7,Pune,131277,medium,soybean
loamy,15.8,Bengaluru,232917,high,rice
loamy,4.4,Vijayawada,32925,low,tomato
red,3.1,Delhi,9433,low,millet
loamy,16.1,Jaipur,170386,low,rice
black,7.7,Nashik,88402,medium,cotton
sandy,19.3,Nashik,162575,medium,onion
red,19.7,Nashik,99595,medium,groundnut
loamy,18.6,Delhi,199306,medium,wheat
loamy,12.8,Pune,77834,medium,onion
clay,8.6,Pune,143972,high,chilli
sandy,18.2,Nashik,99819,medium,groundnut
loamy,15.9,Nashik,109395,medium,soybean
loamy,10.0,Nashik,94276,medium,soybean
black,13.8,Warangal,122858,high,maize
loamy,9.7,Hyderabad,93958,low,cotton
red,14.1,Vijayawada,157888,medium,chilli
loamy,18.4,Pune,104110,medium,wheat
loamy,18.2,Pune,211414,medium,wheat
black,15.6,Pune,141301,medium,potato
loamy,5.5,Pune,33084,medium,onion
sandy,3.9,Jaipur,13710,low,millet
red,16.8,Hyderabad,225953,medium,cotton
red,1.1,Hyderabad,16000,high,tomato
red,18.1,Pune,100979,medium,millet
loamy,13.9,Lucknow,154245,medium,potato
loamy,8.5,Vijayawada,119006,medium,tomato
black,2.0,Pune,21361,medium,soybean
loamy,19.1,Bengaluru,228611,high,tomato
loamy,19.1,Nashik,268740,high,tomato
black,5.5,Pune,52863,medium,cotton
loamy,4.2,Pune,39306,medium,potato
sandy,18.6,Pune,106176,low,soybean
loamy,14.1,Hyderabad,88824,medium,soybean
red,9.1,Bengaluru,77697,medium,chilli
red,19.3,Delhi,100599,low,millet
black,10.9,Vijayawada,149417,high,chilli
red,17.2,Vijayawada,271168,medium,chilli
loamy,10.4,Pune,103660,medium,wheat
sandy,12.3,Delhi,52033,medium,millet
sandy,11.5,Jaipur,88768,low,groundnut
red,8.7,Warangal,80210,medium,cotton
red,7.3,Nashik,110843,medium,cotton
loamy,15.1,Lucknow,128715,medium,potato
black,5.3,Hyderabad,24381,high,maize
loamy,14.3,Warangal,62307,high,maize
black,10.1,Warangal,78396,medium,maize
sandy,10.3,Delhi,34748,medium,millet
black,6.8,Pune,70147,medium,soybean
